Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,22,195540,11.3,12.7
,"Blount County, AL",1009,13,57872,Unreliable,Unreliable
,"Cullman County, AL",1043,16,80811,Unreliable,Unreliable
,"DeKalb County, AL",1049,23,71013,32.4,32.8
,"Escambia County, AL",1053,13,37983,Unreliable,Unreliable
,"Etowah County, AL",1055,21,103931,20.2,20.1
,"Franklin County, AL",1059,10,31532,Unreliable,Unreliable
,"Houston County, AL",1069,20,103668,19.3,17.8
,"Jefferson County, AL",1073,96,659479,14.6,14.9
,"Lee County, AL",1081,10,150933,Unreliable,Unreliable
,"Madison County, AL",1089,23,346892,6.6,6.6
,"Marshall County, AL",1095,16,94760,Unreliable,Unreliable
,"Mobile County, AL",1097,64,414079,15.5,15.7
,"Montgomery County, AL",1101,10,226659,Unreliable,Unreliable
,"Morgan County, AL",1103,18,119787,Unreliable,Unreliable
,"St. Clair County, AL",1115,22,86308,25.5,25.8
,"Shelby County, AL",1117,30,204180,14.7,14.4
,"Talladega County, AL",1121,11,81096,Unreliable,Unreliable
,"Tuscaloosa County, AL",1125,33,200821,16.4,18
,"Walker County, AL",1127,26,65998,39.4,46.5
,"Anchorage Borough, AK",2020,49,300950,16.3,16
,"Fairbanks North Star Borough, AK",2090,12,100436,Unreliable,Unreliable
,"Matanuska-Susitna Borough, AK",2170,12,95192,Unreliable,Unreliable
,"Cochise County, AZ",4003,13,129473,Unreliable,Unreliable
,"Coconino County, AZ",4005,30,136539,22,23.7
,"Gila County, AZ",4007,12,53053,Unreliable,Unreliable
,"Maricopa County, AZ",4013,705,4009412,17.6,17.6
,"Mohave County, AZ",4015,62,203030,30.5,31.9
,"Navajo County, AZ",4017,29,107322,27,29
,"Pima County, AZ",4019,215,996554,21.6,22.9
,"Pinal County, AZ",4021,52,389350,13.4,14.2
,"Yavapai County, AZ",4025,65,215133,30.2,34.1
,"Yuma County, AZ",4027,23,201201,11.4,12.2
,"Benton County, AR",5007,22,237297,9.3,9
,"Craighead County, AR",5031,19,101488,Unreliable,Unreliable
,"Crawford County, AR",5033,12,61640,Unreliable,Unreliable
